currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
20,20,11,11,11,10,10
22,22,12,12,12,11,11
24,24,13,13,13,12,12
26,26,14,14,14,13,13
28,28,15,15,15,14,14
30,30,16,16,16,15,15
32,32,17,17,17,16,16
34,34,18,18,18,17,17
36,36,19,19,19,18,18
38,38,20,20,20,19,19
38,38,21,20,21,19,19
40,40,22,22,22,20,20
42,42,23,23,23,21,21
44,44,24,24,24,22,22
46,46,25,25,25,23,23
48,48,26,26,26,24,24
49,49,27,27,27,24,24
51,51,28,28,28,25,25
53,53,29,29,29,26,26
55,55,30,30,30,27,27
57,57,31,31,31,28,28
59,59,32,32,32,29,29
61,61,33,33,33,30,30
62,62,34,34,34,30,30
64,64,35,35,35,31,31
66,66,36,36,36,32,32
68,68,37,37,37,33,33
70,70,38,38,38,34,34
72,72,39,39,39,35,35
74,74,40,40,40,36,36
76,76,41,41,41,37,37
77,77,42,42,42,37,37
79,79,43,43,43,38,38
81,81,44,44,44,39,39
83,83,45,45,45,40,40
85,85,46,46,46,41,41
87,87,47,47,47,42,42
89,89,48,48,48,43,43
91,91,49,49,49,44,44
93,93,50,50,50,45,45
94,94,51,51,51,45,45
96,96,52,52,52,46,46
98,98,53,53,53,47,47
100,100,54,54,54,48,48
101,101,55,55,55,48,48
103,103,56,56,56,49,49
105,105,57,57,57,50,50
107,107,58,58,58,51,51
108,108,59,59,59,51,51
110,110,60,60,60,52,52
112,112,61,61,61,53,53
113,113,62,62,62,53,53
115,115,63,63,63,54,54
116,116,64,64,64,54,54
118,118,65,65,65,55,55
116,118,66,65,66,55,55
117,118,67,65,67,55,55
119,119,68,68,68,56,56
120,120,69,69,69,56,56
122,122,70,70,70,57,57
123,123,71,71,71,57,57
125,125,72,72,72,58,58
127,127,73,73,73,59,59
128,128,74,74,74,59,59
129,129,75,75,75,59,59
130,130,76,76,76,59,59
132,132,77,77,77,60,60
133,133,78,78,78,60,60
135,135,79,79,79,61,61
136,136,80,80,80,61,61
137,137,81,81,81,61,61
139,139,82,82,82,62,62
141,141,83,83,83,63,63
143,143,84,84,84,64,64
144,144,85,85,85,64,64
145,145,86,86,86,64,64
147,147,87,87,87,65,65
149,149,88,88,88,66,66
150,150,89,89,89,66,66
151,151,90,90,90,66,66
152,152,91,91,91,66,66
153,153,92,92,92,66,66
154,154,93,93,93,66,66
155,155,94,94,94,66,66
156,156,95,95,95,66,66
158,158,96,96,96,67,67
159,159,97,97,97,67,67
160,160,98,98,98,67,67
161,161,99,99,99,67,67
162,162,100,100,100,67,67
164,164,101,101,101,68,68
165,165,102,102,102,68,68
